date,NDVI,sensor
2013-06-09,0.4461547066102613,Landsat
2013-09-13,0.7016983260549475,Landsat
2013-09-13,0.8591721519510451,Landsat
2013-09-29,0.6937610912711115,Landsat
2013-09-29,0.6849793067804554,Landsat
2013-10-31,0.7120944382437455,Landsat
2013-10-31,0.7171685084970635,Landsat
2014-01-03,0.6798650263858844,Landsat
2014-01-03,0.6646216273459887,Landsat
2014-01-19,0.5735083400207241,Landsat
2014-01-19,0.5850802832558929,Landsat
2014-02-04,0.5353305980109014,Landsat
2014-02-04,0.538027334580429,Landsat
2014-02-20,0.462395977111178,Landsat
2014-02-20,0.46850554160661717,Landsat
2014-03-08,0.43523815504945834,Landsat
2014-03-08,0.43328970464800903,Landsat
2014-03-24,0.367791018927082,Landsat
2014-03-24,0.370934185977915,Landsat
2014-04-25,0.34825310911770646,Landsat
2014-04-25,0.34580458207359965,Landsat
2014-05-11,0.3491407952183824,Landsat
2014-05-11,0.3560181574920877,Landsat
2014-05-27,0.35989047225486887,Landsat
2014-05-27,0.3576655640566147,Landsat
2014-06-12,0.3841731774862584,Landsat
2014-06-12,0.3889004163055189,Landsat
2014-06-28,0.34941023632704216,Landsat
2014-08-15,0.5653172395115851,Landsat
2014-08-15,0.5675642329438554,Landsat
2014-10-02,0.6944295879654108,Landsat
2014-10-02,0.6954576120383822,Landsat
2014-11-19,0.701911971818189,Landsat
2014-11-19,0.7039866539142259,Landsat
2014-12-05,0.6742417157885379,Landsat
2014-12-05,0.6770962589535985,Landsat
2014-12-21,0.7010352599905205,Landsat
2014-12-21,0.6851600020974614,Landsat
2015-01-06,0.6444854331202315,Landsat
2015-01-06,0.6474080552464336,Landsat
2015-01-22,0.5680698184507672,Landsat
2015-01-22,0.5704343908512054,Landsat
2015-02-07,0.4404829190581508,Landsat
2015-02-07,0.44136761866027846,Landsat
2015-02-23,0.40243944444061813,Landsat
2015-02-23,0.4047332831654063,Landsat
2015-03-11,0.4230647301868991,Landsat
2015-03-11,0.4240015553830617,Landsat
2015-03-27,0.37674400739621206,Landsat
2015-03-27,0.3785457632518307,Landsat
2015-04-28,0.5018468575583633,Landsat
2015-04-28,0.5023378956834991,Landsat
2015-05-30,0.6057188204769,Landsat
2015-05-30,0.6082370753899109,Landsat
2015-07-01,0.6099758545346707,Landsat
2015-07-01,0.5965426347124133,Landsat
2015-07-17,0.5904541912383412,Landsat
2015-07-17,0.6096893013671547,Landsat
2015-08-02,0.5742761967940951,Landsat
2015-08-18,0.6436540514124988,Landsat
2015-08-18,0.6486549517455266,Landsat
2015-09-03,0.65671589218793,Landsat
2015-09-03,0.617307225171658,Landsat
2015-10-05,0.7191576669193993,Landsat
2015-10-05,0.6523378649099146,Landsat
2015-10-21,0.7039234156101929,Landsat
2015-10-21,0.7061809509567986,Landsat
2015-11-06,0.7275863984169559,Landsat
2015-11-06,0.7299838734565551,Landsat
2015-12-08,0.7270180543242849,Landsat
2015-12-08,0.7316438133423024,Landsat
2015-12-24,0.708902560284508,Landsat
2015-12-24,0.7120269236257555,Landsat
2016-01-09,0.6082807118139165,Landsat
2016-01-09,0.6121206882457801,Landsat
2016-01-25,0.6011283076838542,Landsat
2016-01-25,0.604368198256645,Landsat
2016-02-10,0.6044149403986827,Landsat
2016-02-10,0.6064551916472322,Landsat
2016-02-26,0.5578574797245697,Landsat
2016-02-26,0.5603145807375995,Landsat
2016-03-29,0.4342307653350779,Landsat
2016-03-29,0.44066649800943436,Landsat
2016-04-14,0.4269329645115162,Landsat
2016-04-14,0.42935820316506984,Landsat
2016-04-30,0.44290534540089105,Landsat
2016-04-30,0.44529076833176673,Landsat
2016-06-01,0.5368583587183513,Landsat
2016-06-01,0.536166276732803,Landsat
2016-08-04,0.6407422904186376,Landsat
2016-08-20,0.6699016414587334,Landsat
2016-08-20,0.6722571882331224,Landsat
2016-10-07,0.6562270874839286,Landsat
2016-10-07,0.6567217664161131,Landsat
2016-10-23,0.5959297850919082,Landsat
2016-10-23,0.6027953242522572,Landsat
2016-11-08,0.5631274385333663,Landsat
2016-11-08,0.5678347790990834,Landsat
2016-11-24,0.5305662199014144,Landsat
2016-11-24,0.5333825998909666,Landsat
2016-12-26,0.5970607949473742,Landsat
2016-12-26,0.5983544264627256,Landsat
2017-01-11,0.597047622560514,Landsat
2017-01-11,0.6036379581158697,Landsat
2017-02-12,0.5454595608052377,Landsat
2017-02-12,0.5489239925339653,Landsat
2017-03-16,0.42227045204015273,Landsat
2017-03-16,0.4255537385545479,Landsat
2017-04-01,0.3679725780992061,Landsat
2017-04-01,0.3706522702040032,Landsat
2017-04-17,0.3354942951631774,Landsat
2017-04-17,0.3388352791071549,Landsat
2017-05-03,0.40095659895535796,Landsat
2017-05-03,0.4023846226663107,Landsat
2017-05-19,0.41906399190208904,Landsat
2017-05-19,0.42231658121555465,Landsat
2017-06-04,0.48331148730181167,Landsat
2017-06-04,0.4820779073839907,Landsat
2017-07-22,0.616320943800824,Landsat
2017-07-22,0.617985572283439,Landsat
2017-09-08,0.7340036641782416,Landsat
2017-09-08,0.7405578947845818,Landsat
2017-10-10,0.7388320621320114,Landsat
2017-10-10,0.7414076817229441,Landsat
2017-10-26,0.6750268643071321,Landsat
2017-10-26,0.7346186560354196,Landsat
2017-12-13,0.7011604419529491,Landsat
2017-12-13,0.7024437708132161,Landsat
2017-12-29,0.6875437220578285,Landsat
2017-12-29,0.689979670814813,Landsat
2018-01-14,0.6549113232853638,Landsat
2018-01-14,0.6579205529987386,Landsat
2018-01-30,0.6064479258830656,Landsat
2018-01-30,0.6083524996770261,Landsat
2018-03-03,0.5074563546792905,Landsat
2018-03-03,0.5078952552543806,Landsat
2018-03-19,0.4699487451103458,Landsat
2018-03-19,0.4718816547714124,Landsat
2018-04-04,0.4408678912136571,Landsat
2018-04-04,0.4433316432508265,Landsat
2018-04-20,0.39781991966703606,Landsat
2018-04-20,0.40032537372647337,Landsat
2018-05-06,0.4614789890552706,Landsat
2018-05-06,0.4669924526175707,Landsat
2018-05-22,0.5865163484982407,Landsat
2018-06-23,0.6114192055753529,Landsat
2018-06-23,0.5917237640618793,Landsat
2018-07-25,0.43542833947300896,Landsat
2018-09-11,0.5903816216528369,Landsat
2018-09-11,0.5924074994774196,Landsat
2018-09-27,0.6539604381675235,Landsat
2018-09-27,0.649224384109214,Landsat
2018-10-13,0.5981695464097767,Landsat
2018-10-13,0.60808640267618,Landsat
2018-10-29,0.6070768629041156,Landsat
2018-10-29,0.5615451480343179,Landsat
2018-11-14,0.5625327237075303,Landsat
2018-11-14,0.5653684512980818,Landsat
2018-11-30,0.6263618424712025,Landsat
2018-11-30,0.6288581632154527,Landsat
2019-01-01,0.530736155198804,Landsat
2019-01-01,0.5324927698286829,Landsat
2019-01-17,0.4582229365409549,Landsat
2019-01-17,0.4613164338112311,Landsat
2019-02-02,0.4162634728250106,Landsat
2019-02-02,0.4195677970383119,Landsat
2019-02-18,0.4206844481206223,Landsat
2019-02-18,0.42399641803652977,Landsat
2019-03-06,0.42556095724297405,Landsat
2019-03-06,0.42936663356664495,Landsat
2019-03-22,0.38899518351523305,Landsat
2019-03-22,0.39068695731460296,Landsat
2019-04-07,0.352604679185794,Landsat
2019-04-07,0.35428586394219685,Landsat
2019-04-23,0.39319759222553263,Landsat
2019-04-23,0.3938023278280375,Landsat
2019-05-09,0.3380439683294999,Landsat
2019-05-09,0.33943814034049946,Landsat
2019-05-25,0.35431637195461185,Landsat
2019-05-25,0.35929414276988314,Landsat
2019-06-10,0.3844387203279253,Landsat
2019-06-10,0.38450995142375677,Landsat
2019-07-12,0.5254932115369496,Landsat
2019-07-12,0.5297221098533939,Landsat
2019-08-29,0.6646495216642923,Landsat
2019-08-29,0.6707865453123381,Landsat
2019-09-30,0.6590057707507448,Landsat
2019-09-30,0.6563279470374106,Landsat
2019-11-01,0.7341860815611723,Landsat
2019-11-01,0.7396706059747616,Landsat
2019-11-17,0.739705659972017,Landsat
2019-11-17,0.7405945954857744,Landsat
2019-12-19,0.7099488028504845,Landsat
2020-01-04,0.6954440285304678,Landsat
2020-01-04,0.6978106709563552,Landsat
2020-01-20,0.6828403757896772,Landsat
2020-01-20,0.6852166312317279,Landsat
2020-02-05,0.6371275613002064,Landsat
2020-02-05,0.6396898891826877,Landsat
2020-02-21,0.5826107906294161,Landsat
2020-02-21,0.5825274688906238,Landsat
2020-03-24,0.44914004324849177,Landsat
2020-03-24,0.45158380725248753,Landsat
2020-04-09,0.5382496563289918,Landsat
2020-04-09,0.5339288611320463,Landsat
2020-04-25,0.4397678860235747,Landsat
2020-04-25,0.4446379011349536,Landsat
2020-05-11,0.5584964346606128,Landsat
2020-05-11,0.5578949024778943,Landsat
2020-05-27,0.5364749256676774,Landsat
2020-05-27,0.5344307197106539,Landsat
2020-06-28,0.5143075378514055,Landsat
2020-06-28,0.618146368532147,Landsat
2020-07-30,0.7329713140146318,Landsat
2020-07-30,0.705163094011211,Landsat
2020-08-31,0.7794601729880682,Landsat
2020-08-31,0.7809709048572125,Landsat
2020-10-02,0.7246780031279036,Landsat
2020-10-02,0.7505767267031975,Landsat
2020-11-19,0.7461988596988056,Landsat
2020-11-19,0.738561123784576,Landsat
2020-12-21,0.7305488067676673,Landsat
2020-12-21,0.732742785735532,Landsat
2021-01-22,0.7098634000933196,Landsat
2021-01-22,0.7108573176160893,Landsat
2021-02-07,0.6798875598633877,Landsat
2021-02-07,0.6821532878057116,Landsat
2021-02-23,0.6625812307037542,Landsat
2021-02-23,0.665195032591754,Landsat
2021-03-11,0.5973841605682657,Landsat
2021-03-11,0.59778639504935,Landsat
2021-03-27,0.49403251503775036,Landsat
2021-03-27,0.4967175279793296,Landsat
2021-04-12,0.43810919779300495,Landsat
2021-04-12,0.4436387303223222,Landsat
2021-04-28,0.5745129451301116,Landsat
2021-04-28,0.5777900851948727,Landsat
2021-05-14,0.601800786677178,Landsat
2021-05-14,0.6084959450860147,Landsat
2021-05-30,0.6928981461941781,Landsat
2021-05-30,0.6970627088812864,Landsat
2021-07-17,0.735192160058606,Landsat
2021-08-02,0.7312424593190596,Landsat
2021-08-02,0.7377797978378031,Landsat
2021-09-19,0.7231393846018189,Landsat
2021-09-19,0.7255064026446753,Landsat
2021-10-21,0.7545925904528975,Landsat
2021-10-21,0.7462867933939209,Landsat
2021-11-22,0.7148718119254501,Landsat
2021-11-22,0.7334086520610665,Landsat
2021-12-08,0.7711414851452043,Landsat
2021-12-08,0.7765627405284863,Landsat
2021-12-16,0.7445056554968946,Landsat
2021-12-16,0.7433031198343335,Landsat
2021-12-24,0.7364121503112261,Landsat
2021-12-24,0.7390595805615695,Landsat
2022-01-01,0.8282193196173445,Landsat
2022-01-09,0.7167283667574347,Landsat
2022-01-09,0.7181387135038431,Landsat
2022-01-17,0.7665702565361964,Landsat
2022-01-25,0.7088626217187831,Landsat
2022-01-25,0.7111569526014552,Landsat
2022-02-02,0.6786484120841346,Landsat
2022-02-02,0.6809910627195648,Landsat
2022-02-10,0.6672019088118382,Landsat
2022-02-10,0.6690762013658395,Landsat
2022-02-18,0.640566038570493,Landsat
2022-02-18,0.6417166321200276,Landsat
2022-02-26,0.6088437314979755,Landsat
2022-02-26,0.6114955214481691,Landsat
2022-03-06,0.5786038941767178,Landsat
2022-03-06,0.5827224819673942,Landsat
2022-03-14,0.5278801169203868,Landsat
2022-03-14,0.5442494604211435,Landsat
2022-03-22,0.573937065703986,Landsat
2022-03-30,0.5018713040082387,Landsat
2022-03-30,0.5104025426922881,Landsat
2022-04-07,0.4898994237105531,Landsat
2022-04-07,0.49426487527372664,Landsat
2022-04-15,0.48811292964062863,Landsat
2022-04-15,0.49249744004611234,Landsat
2022-04-23,0.47754220148285303,Landsat
2022-04-23,0.4812674510743308,Landsat
