date,NDVI,sensor
24-05-2019,0.267835141,Sentinel-2
29-05-2019,0.249907444,Sentinel-2
29-05-2019,0.246269748,Sentinel-2
03-06-2019,0.254199247,Sentinel-2
08-06-2019,0.27792397,Sentinel-2
13-06-2019,0.2928586,Sentinel-2
13-06-2019,0.289275463,Sentinel-2
18-06-2019,0.326255659,Sentinel-2
18-06-2019,0.320127601,Sentinel-2
28-06-2019,0.399363981,Sentinel-2
28-06-2019,0.392423623,Sentinel-2
08-07-2019,0.328892017,Sentinel-2
08-07-2019,0.328101993,Sentinel-2
13-07-2019,0.324337178,Sentinel-2
27-08-2019,0.56273898,Sentinel-2
27-08-2019,0.553888443,Sentinel-2
21-09-2019,-0.089587927,Sentinel-2
21-09-2019,-0.091910188,Sentinel-2
01-10-2019,0.574736296,Sentinel-2
01-10-2019,0.57748427,Sentinel-2
06-10-2019,0.495797959,Sentinel-2
06-10-2019,0.539416954,Sentinel-2
11-10-2019,0.161612816,Sentinel-2
11-10-2019,0.197077002,Sentinel-2
26-10-2019,0.684047774,Sentinel-2
05-11-2019,0.712299271,Sentinel-2
05-11-2019,0.703926151,Sentinel-2
10-11-2019,0.615212543,Sentinel-2
10-11-2019,0.609222478,Sentinel-2
25-11-2019,0.724744783,Sentinel-2
25-11-2019,0.715235842,Sentinel-2
05-12-2019,0.453006949,Sentinel-2
10-12-2019,0.658450368,Sentinel-2
10-12-2019,0.654228786,Sentinel-2
20-12-2019,0.526391797,Sentinel-2
25-12-2019,0.666913138,Sentinel-2
25-12-2019,0.661273248,Sentinel-2
30-12-2019,0.516068224,Sentinel-2
04-01-2020,0.672783484,Sentinel-2
04-01-2020,0.650064756,Sentinel-2
14-01-2020,0.766526467,Sentinel-2
14-01-2020,0.695854917,Sentinel-2
19-01-2020,0.477585854,Sentinel-2
19-01-2020,0.4569491,Sentinel-2
24-01-2020,0.715607933,Sentinel-2
24-01-2020,0.689125142,Sentinel-2
29-01-2020,0.678253098,Sentinel-2
29-01-2020,0.641500042,Sentinel-2
03-02-2020,0.673620036,Sentinel-2
03-02-2020,0.642034414,Sentinel-2
08-02-2020,0.511895249,Sentinel-2
08-02-2020,0.468662782,Sentinel-2
13-02-2020,0.6175206,Sentinel-2
13-02-2020,0.610198521,Sentinel-2
18-02-2020,0.595220204,Sentinel-2
18-02-2020,0.577785891,Sentinel-2
23-02-2020,0.507730055,Sentinel-2
23-02-2020,0.516667788,Sentinel-2
28-02-2020,0.368383315,Sentinel-2
28-02-2020,0.363706185,Sentinel-2
04-03-2020,0.148478476,Sentinel-2
04-03-2020,0.167224865,Sentinel-2
09-03-2020,0.48393097,Sentinel-2
09-03-2020,0.451428054,Sentinel-2
14-03-2020,0.474646897,Sentinel-2
14-03-2020,0.45674464,Sentinel-2
19-03-2020,0.459981358,Sentinel-2
19-03-2020,0.438039592,Sentinel-2
24-03-2020,0.432940329,Sentinel-2
24-03-2020,0.417389647,Sentinel-2
29-03-2020,0.421857713,Sentinel-2
29-03-2020,0.398211377,Sentinel-2
03-04-2020,0.398345136,Sentinel-2
03-04-2020,0.371432061,Sentinel-2
08-04-2020,0.233676002,Sentinel-2
08-04-2020,0.209556495,Sentinel-2
13-04-2020,0.419783721,Sentinel-2
13-04-2020,0.404323549,Sentinel-2
18-04-2020,0.402589741,Sentinel-2
18-04-2020,0.3791591,Sentinel-2
23-04-2020,0.375939031,Sentinel-2
23-04-2020,0.354977233,Sentinel-2
28-04-2020,0.279733724,Sentinel-2
03-05-2020,0.483332025,Sentinel-2
03-05-2020,0.452297159,Sentinel-2
13-05-2020,0.491050233,Sentinel-2
13-05-2020,0.491575467,Sentinel-2
23-05-2020,0.475295566,Sentinel-2
23-05-2020,0.444894459,Sentinel-2
28-05-2020,0.484246025,Sentinel-2
28-05-2020,0.445661393,Sentinel-2
27-06-2020,0.297846586,Sentinel-2
